Date,Time,Polinka,Parking Wrońskiego,D20 - D21,GEO LO1 Geocentrum,Architecture
2024-12-17,16:30,16,114,19,170,55
2024-12-17,16:40,15,122,24,176,55
2024-12-17,16:50,15,125,20,180,58
2024-12-17,17:00,9,130,15,192,62
2024-12-17,17:10,9,130,12,202,64
2024-12-17,17:20,11,129,14,205,68
2024-12-17,17:30,13,127,12,204,66
2024-12-17,17:50,13,124,11,206,68
2024-12-17,18:00,14,127,12,207,67
2024-12-17,18:10,16,127,12,207,69
2024-12-17,18:20,16,126,16,209,68
2024-12-17,18:30,18,130,17,210,68
2024-12-17,18:50,19,141,18,220,67
2024-12-17,19:00,21,145,24,227,65
2024-12-17,19:10,21,143,23,229,66
2024-12-17,19:30,22,142,24,234,68
2024-12-17,19:40,22,145,26,236,71
2024-12-17,19:50,22,147,30,238,71
2024-12-17,20:00,22,149,31,239,71
2024-12-17,20:10,23,149,34,241,74
2024-12-17,20:30,27,163,38,243,79
2024-12-17,20:40,29,168,41,246,82
2024-12-17,20:50,29,172,43,248,83
2024-12-18,05:00,61,192,68,267,84
2024-12-18,05:10,55,192,68,267,84
2024-12-18,05:20,55,192,67,267,84
2024-12-18,05:50,54,184,61,265,84
2024-12-18,06:00,50,183,58,262,84
2024-12-18,06:10,47,181,48,262,84
2024-12-18,06:20,47,177,46,262,84
2024-12-18,06:30,47,172,37,262,84
2024-12-18,06:40,47,166,27,262,84
2024-12-18,06:50,40,148,5,257,84
2024-12-18,07:00,34,120,0,256,83
2024-12-18,07:10,13,88,0,250,82
2024-12-18,07:20,0,52,0,242,81
2024-12-18,07:30,0,21,0,232,78
2024-12-18,07:50,0,2,0,215,67
2024-12-18,08:00,0,1,0,208,65
2024-12-18,08:10,0,0,0,203,61
2024-12-18,08:20,0,0,0,193,59
2024-12-18,08:40,0,0,0,168,57
2024-12-18,08:50,0,0,0,152,56
2024-12-18,09:00,0,0,0,134,54
2024-12-18,09:10,0,0,0,115,50
2024-12-18,09:20,0,0,0,103,46
2024-12-18,09:30,0,1,0,97,46
